G163	G1	+
G3	G1	+
G2	G1	+
G59	G2	-
G3	G2	-
G1	G2	+
G1	G3	-
G2	G3	+
G138	G4	-
G2	G4	+
G3	G4	+
G1	G4	+
G113	G4	+
G1	G5	+
G3	G5	+
G2	G5	+
G142	G6	-
G3	G6	-
G28	G6	+
G2	G6	+
G2	G7	+
G2	G8	-
G3	G8	+
G2	G9	-
G2	G10	+
G1	G10	+
G1	G11	-
G2	G11	+
G2	G12	+
G2	G13	-
G3	G13	-
G173	G13	-
G1	G13	+
G194	G14	+
G1	G14	+
G2	G15	-
G3	G16	+
G1	G17	-
G100	G17	+
G2	G17	+
G60	G17	+
G1	G18	+
G3	G19	-
G59	G19	+
G73	G19	+
G2	G20	+
G157	G21	-
G1	G21	+
G2	G21	+
G2	G22	+
G1	G22	+
G1	G23	-
G2	G23	+
G1	G24	-
G44	G25	-
G1	G25	+
G2	G25	+
G1	G26	-
G2	G26	+
G1	G27	-
G1	G29	-
G2	G29	+
G3	G29	+
G1	G30	-
G44	G30	+
G2	G30	+
G2	G31	+
G3	G32	+
G2	G33	-
G3	G33	+
G1	G34	+
G1	G35	+
G3	G36	+
G2	G36	+
G1	G37	-
G3	G38	+
G2	G39	-
G1	G40	-
G2	G41	-
G1	G41	-
G2	G42	-
G3	G42	+
G1	G42	+
G60	G43	-
G2	G43	+
G3	G43	+
G1	G45	+
G2	G45	+
G2	G46	+
G1	G47	-
G82	G48	-
G1	G48	+
G1	G49	-
G3	G50	-
G2	G50	+
G1	G51	-
G1	G52	+
G2	G53	+
G1	G53	+
G3	G54	-
G150	G54	+
G1	G54	+
G2	G55	-
G1	G55	+
G2	G56	+
G2	G57	+
G1	G58	-
G2	G61	+
G1	G62	-
G2	G63	+
G2	G64	+
G44	G65	-
G108	G65	+
G1	G66	-
G60	G66	-
G2	G67	-
G44	G68	+
G1	G69	-
G2	G70	+
G2	G71	-
G2	G72	+
G2	G74	-
G1	G75	+
G1	G76	-
G1	G77	-
G2	G78	+
G1	G78	+
G1	G79	-
G1	G80	+
G1	G81	+
G3	G83	+
G2	G84	-
G2	G85	+
G1	G86	-
G2	G87	-
G1	G87	-
G3	G87	+
G3	G88	-
G2	G89	-
G2	G90	-
G2	G91	-
G3	G92	-
G2	G93	-
G2	G94	-
G1	G95	-
G1	G96	+
G150	G97	-
G2	G97	+
G1	G98	+
G1	G99	+
G2	G101	+
G2	G102	+
G1	G103	+
G2	G104	+
G44	G105	-
G3	G105	+
G2	G106	-
G1	G107	-
G2	G109	+
G2	G110	+
G2	G111	+
G3	G112	-
G73	G114	-
G1	G114	-
G2	G114	+
G2	G115	+
G1	G115	+
G1	G116	-
G2	G117	-
G3	G118	+
G2	G119	+
G1	G120	-
G1	G121	+
G3	G121	+
G2	G122	+
G3	G123	+
G2	G124	+
G1	G125	-
G1	G126	+
G44	G127	-
G2	G128	+
G1	G129	+
G2	G129	+
G2	G130	+
G1	G130	+
G1	G131	+
G2	G132	-
G2	G133	+
G113	G134	-
G3	G135	-
G1	G135	+
G3	G136	-
G3	G137	-
G59	G137	+
G3	G139	-
G1	G140	-
G3	G141	+
G2	G143	+
G100	G143	+
G1	G144	-
G188	G145	-
G1	G145	-
G2	G146	-
G1	G147	+
G1	G148	-
G1	G149	-
G182	G149	+
G1	G151	+
G2	G152	+
G73	G153	-
G1	G154	-
G1	G155	+
G1	G156	-
G44	G156	-
G3	G158	+
G2	G159	-
G2	G160	-
G2	G161	+
G1	G162	-
G1	G164	+
G2	G165	-
G44	G166	-
G2	G167	-
G2	G168	-
G138	G169	+
G2	G170	-
G1	G171	+
G1	G172	-
G1	G174	-
G2	G175	-
G59	G176	-
G1	G177	-
G2	G178	-
G3	G179	+
G3	G180	-
G1	G181	+
G163	G183	-
G2	G184	+
G1	G185	+
G1	G186	+
G150	G187	+
G2	G189	+
G1	G190	-
G1	G191	+
G1	G192	-
G2	G193	+
G1	G195	-
G1	G196	+
G60	G197	+
G2	G198	+
G2	G199	+
G2	G200	-
