G3	G1	+
G1	G2	-
G70	G3	-
G2	G3	+
G3	G4	-
G1	G4	-
G13	G4	-
G3	G5	-
G32	G5	+
G1	G5	+
G3	G6	-
G1	G6	-
G67	G7	-
G1	G7	-
G3	G7	-
G32	G7	+
G3	G8	-
G1	G8	+
G3	G9	-
G1	G9	-
G2	G10	-
G1	G10	-
G3	G10	-
G60	G10	+
G32	G10	+
G1	G11	-
G32	G11	+
G3	G11	+
G51	G11	+
G1	G12	-
G3	G12	-
G79	G13	+
G3	G13	+
G1	G14	-
G1	G15	-
G84	G15	-
G67	G15	+
G3	G16	-
G1	G17	+
G3	G18	-
G1	G18	-
G13	G19	+
G1	G20	-
G1	G21	-
G1	G22	+
G1	G23	+
G1	G24	+
G3	G24	+
G1	G25	-
G1	G26	+
G3	G27	-
G1	G27	+
G3	G28	-
G86	G28	-
G32	G28	+
G3	G29	-
G1	G30	-
G32	G31	-
G3	G31	-
G1	G31	+
G3	G33	-
G1	G34	+
G1	G35	-
G1	G36	+
G45	G36	+
G1	G37	+
G32	G38	-
G3	G39	-
G1	G39	+
G1	G40	+
G3	G41	+
G3	G42	+
G3	G43	-
G1	G43	-
G1	G44	-
G75	G44	-
G3	G44	+
G86	G44	+
G1	G46	-
G3	G46	+
G1	G47	+
G3	G48	+
G1	G49	-
G1	G50	-
G45	G50	+
G3	G52	-
G1	G53	+
G32	G54	-
G32	G55	-
G69	G55	-
G3	G56	+
G1	G57	-
G3	G58	+
G3	G59	-
G1	G61	-
G1	G62	+
G1	G63	-
G3	G64	-
G3	G65	+
G3	G66	-
G3	G68	+
G1	G71	-
G3	G72	+
G45	G72	+
G1	G72	+
G3	G73	+
G3	G74	-
G1	G76	+
G1	G77	-
G3	G78	-
G3	G80	-
G32	G81	+
G32	G82	-
G1	G82	-
G3	G83	-
G1	G85	+
G1	G87	-
G86	G87	-
G1	G88	-
G3	G89	-
G1	G89	+
G1	G90	+
G1	G91	+
G70	G92	+
G1	G93	-
G3	G94	+
G1	G95	+
G1	G96	-
G1	G97	-
G3	G98	+
G3	G99	+
G1	G100	+
G3	G101	-
G1	G102	+
G1	G103	+
G3	G104	-
G3	G105	-
G1	G105	+
G120	G105	+
G1	G106	-
G1	G107	+
G1	G108	+
G1	G109	-
G1	G110	-
G3	G111	+
G2	G112	-
G1	G113	-
G3	G114	+
G3	G115	-
G3	G116	+
G86	G117	+
G1	G118	-
G32	G119	+
G1	G121	+
G3	G122	-
G1	G123	+
G86	G124	+
G1	G125	+
G2	G126	+
G45	G127	-
G131	G127	+
G3	G128	+
G3	G129	-
G1	G130	+
G1	G132	+
G1	G133	-
G1	G134	-
G2	G135	-
G2	G136	-
G1	G137	-
G1	G138	+
G1	G139	+
G1	G140	-
G3	G141	+
G1	G142	-
G1	G143	-
G3	G144	-
G32	G145	-
G1	G146	-
G3	G147	+
G84	G148	+
G1	G149	+
G32	G150	+
